ID,Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Education_encoded,Marital_Absurd,Marital_Alone,Marital_Divorced,Marital_Married,Marital_Single,Marital_Together,Marital_Widow,Marital_YOLO,Customer_Tenure,Family_Size,Total_Spend,Cluster
5524,1957,Graduation,0.3366539528503279,0,0,2012-09-04,0.3051372465374487,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,2,False,False,False,False,True,False,False,False,1.5301505700743363,-1.2751986462038936,1.704106759824768,0
2174,1954,Graduation,-0.2447494567542494,1,1,2014-03-08,-0.3861808011591672,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,False,False,False,False,True,False,False,False,-1.191340698027438,1.390633884332676,-0.9587396985812912,3
4141,1965,Graduation,1.0009248485957645,0,0,2013-08-21,-0.8009716297771368,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,2,False,False,False,False,False,True,False,False,-0.206655675568796,-1.2751986462038936,0.2956452054099908,3
6182,1984,Graduation,-1.2157927298075786,1,0,2014-02-10,-0.8009716297771368,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,2,False,False,False,False,False,True,False,False,-1.0626883835353542,0.0577176190643912,-0.9151962973746514,1
5324,1981,PhD,0.3442949167717039,1,0,2014-01-19,1.5495097323913574,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,4,False,False,False,True,False,False,False,False,-0.9538287328112832,0.0577176190643912,-0.2972149494804149,3
7446,1967,Master,0.5523263215988462,0,1,2013-09-09,-1.1466306536254447,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,3,False,False,False,False,False,True,False,False,-0.3006708284668573,0.0577176190643912,0.1951604333946677,3
965,1971,Graduation,0.2132647096554612,0,1,2012-11-13,-0.5244444106984903,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,2,False,False,True,False,False,False,False,False,1.1837789541341106,0.0577176190643912,-0.0158575878375105,3
6177,1985,PhD,-0.8801818757641698,1,0,2013-05-08,-0.593576215468152,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,4,False,False,False,True,False,False,False,False,0.3129017483415427,0.0577176190643912,-0.7209257381450269,3
4855,1974,PhD,-1.0331490438159765,1,0,2013-06-06,-1.0429329464709522,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,4,False,False,False,False,False,True,False,False,0.1694049360234491,0.0577176190643912,-0.926919520776439,3
5899,1950,PhD,-2.2509215067176105,1,1,2014-03-13,0.6507962703857566,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,4,False,False,False,False,False,True,False,False,-1.2160815277374544,1.390633884332676,-0.9218952821756728,2
1994,1983,Graduation,0.0035818706904731,1,0,2013-11-15,-1.3194601655495988,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,-0.6321979465810735,0.0577176190643912,-0.9721376681833344,3
387,1976,Basic,-2.159624311992524,0,0,2012-11-13,0.3397031489222795,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,1.1837789541341106,-1.2751986462038936,-0.9017983277726084,3
2125,1959,Graduation,0.5779605231415272,0,0,2013-11-15,1.1347189037733878,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,2,False,False,True,False,False,False,False,False,-0.6321979465810735,-1.2751986462038936,0.8416124666932457,2
8180,1952,Master,0.3965985472270589,1,1,2013-11-15,0.1323077346132947,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,3,False,False,True,False,False,False,False,False,-0.6321979465810735,1.390633884332676,-0.4847865239090178,4
2569,1987,Graduation,-1.6753843855429928,0,0,2012-10-10,-0.3861808011591672,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,1.3520165961622204,-1.2751986462038936,-0.926919520776439,3
2114,1946,PhD,1.5524052575534044,0,0,2012-11-24,-0.9046693369316292,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,4,False,False,False,False,True,False,False,False,1.1293491287720752,-1.2751986462038936,1.1983334073476424,3
9736,1980,Graduation,-0.4662881139327275,1,1,2012-12-24,0.0631759298436331,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,0.9809041505119784,1.390633884332676,-0.8431822107636698,4
4939,1946,Graduation,-0.6679109683741996,0,0,2012-08-31,-1.0083670440861214,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,2,False,False,False,False,False,True,False,False,1.549943233842349,-1.2751986462038936,-0.4730633005072301,3
6565,1949,Master,1.2662388345625133,0,1,2013-03-28,1.445812025236865,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,3,False,False,False,True,False,False,False,False,0.515776551963675,0.0577176190643912,1.9804398828669063,2
2278,1985,2n Cycle,-0.8625337139328626,1,0,2012-11-03,1.272982513312711,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False,1.2332606135541428,0.0577176190643912,-0.7812166013542207,4
9360,1982,Graduation,-0.7034044782025272,0,0,2012-08-08,-0.2824830940046748,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,1.6637510505084236,-1.2751986462038936,-0.4747380467074855,0
5376,1979,Graduation,-2.4087197358293837,1,0,2013-01-06,-0.247917191619844,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,0.9165779932659364,0.0577176190643912,1.8933530804536265,0
1993,1949,PhD,0.359774030780169,0,1,2012-12-23,0.4779667584616027,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,4,False,False,False,True,False,False,False,False,0.9858523164539816,0.0577176190643912,0.6238954606600459,4
4047,1954,PhD,0.6908988995536086,0,1,2014-01-11,-1.6996850917827375,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,4,False,False,False,True,False,False,False,False,-0.9142434052752576,0.0577176190643912,-0.0928959130492581,4
1409,1951,Graduation,-0.5235213985309057,0,1,2013-03-18,0.6853621727705874,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,2,False,False,False,False,False,True,False,False,0.5652582113837074,0.0577176190643912,-0.2603705330747964,3
7892,1969,Graduation,-1.61297496409485,0,0,2013-01-02,1.3766802204672033,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,2,False,False,False,False,True,False,False,False,0.9363706570339492,-1.2751986462038936,-0.8783518809690329,3
2404,1976,Graduation,0.1010657813648034,1,1,2013-05-27,-1.5614214822434145,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,0.2188865954434814,1.390633884332676,-0.5735480725225531,4
5255,1986,Graduation,0.0035818706904731,1,0,2013-02-20,-1.0429329464709522,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,2,False,False,False,False,True,False,False,False,0.6939105258757912,0.0577176190643912,0.0628554835744924,0
9422,1989,Graduation,-0.63833304351726,1,0,2013-05-31,-0.8009716297771368,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,0.1990939316754685,0.0577176190643912,-0.7845660937547314,2
1966,1965,PhD,1.6420263698699318,0,0,2013-11-22,1.618641537161019,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,4,False,False,False,True,False,False,False,False,-0.6668351081750962,-1.2751986462038936,1.796217800838814,3
6864,1989,Master,-1.988121644363701,0,0,2014-05-22,-0.5244444106984903,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,3,False,False,True,False,False,False,False,False,-1.56245314367768,-1.2751986462038936,-0.9537154599805252,2
3033,1963,Master,-0.6255159427459194,0,0,2013-05-11,0.2360054417677871,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,3,False,False,False,False,False,True,False,False,0.298057250515533,-1.2751986462038936,-0.4713885543069748,2
5710,1970,Graduation,-0.5304722108722866,0,1,2012-10-10,-0.6281421178529828,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,2,False,False,False,False,False,True,False,False,1.3520165961622204,0.0577176190643912,-0.8029883019575407,1
7373,1952,PhD,-0.2316365767343395,0,2,2012-10-29,-1.423157872704091,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,4,False,False,True,False,False,False,False,False,1.258001443264159,1.390633884332676,-0.4981844935110609,3
8755,1946,Master,0.8552042721339084,0,0,2013-02-20,-1.5614214822434145,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,3,False,False,False,True,False,False,False,False,0.6939105258757912,-1.2751986462038936,0.9990386095172518,2
10738,1951,Master,-0.0946414881052806,1,1,2013-08-29,0.2014395393829563,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,3,False,False,False,False,True,False,False,False,-0.2462410031048218,1.390633884332676,-0.8950993429715868,0
4339,1970,PhD,0.7909215821114929,0,1,2013-12-31,-0.420746703543998,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,4,False,False,False,True,False,False,False,False,-0.8598135799132219,0.0577176190643912,0.5250854348449783,3
10755,1976,2n Cycle,-1.360133003109444,1,0,2013-09-02,0.927323489464403,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,1,False,False,False,True,False,False,False,False,-0.2660336668728347,0.0577176190643912,-0.8683034037675006,0
8595,1973,Graduation,-0.4377454164457807,0,1,2014-02-11,1.7223392443155112,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,2,False,False,False,False,False,False,True,False,-1.0676365494773574,0.0577176190643912,-0.8917498505710759,3
2968,1943,PhD,-0.1163812628751313,0,0,2013-02-01,0.1323077346132947,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,4,False,False,True,False,False,False,False,False,0.7879256787738524,-1.2751986462038936,0.506663226642169,0
8601,1980,Graduation,1.4149172035100632,0,1,2013-04-29,-1.595987384628245,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,0.3574352418195717,0.0577176190643912,1.332313103368073,2
503,1985,Master,-1.5158607774812316,1,0,2013-03-12,1.3421143180823725,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,3,False,False,False,True,False,False,False,False,0.5949472070357267,0.0577176190643912,-0.9151962973746514,3
8430,1957,Graduation,-1.4451202405317174,0,1,2012-12-24,-1.5614214822434145,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,2,False,False,False,False,False,True,False,False,0.9809041505119784,0.0577176190643912,-0.9671134295825682,0
7281,1959,PhD,0.0035818706904731,0,0,2013-11-05,1.0655870990037262,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,4,False,False,False,False,True,False,False,False,-0.5827162871610413,-1.2751986462038936,-0.6924550527406854,2
