ID,Cluster,Income,Customer_Tenure,Total_Spend,Family_Size,Recency,Education_encoded,Marital_Single,Marital_Married,MntWines,NumWebVisitsMonth,Segment_0,Segment_1,Segment_2,Segment_3,Segment_4,Response_Probability,Response,Segment
5524,0,0.3366539528503279,1.5301505700743363,1.704106759824768,-1.2751986462038936,0.3051372465374487,2,True,False,635,7,True,False,False,False,False,0.74,1,Segment 1
2174,3,-0.2447494567542494,-1.191340698027438,-0.9587396985812912,1.390633884332676,-0.3861808011591672,2,True,False,11,5,False,False,False,True,False,0.02,0,Segment 4
4141,3,1.0009248485957645,-0.206655675568796,0.2956452054099908,-1.2751986462038936,-0.8009716297771368,2,False,False,426,4,False,False,False,True,False,0.03,0,Segment 4
6182,1,-1.2157927298075786,-1.0626883835353542,-0.9151962973746514,0.0577176190643912,-0.8009716297771368,2,False,False,11,6,False,True,False,False,False,0.04,0,Segment 2
5324,3,0.3442949167717039,-0.9538287328112832,-0.2972149494804149,0.0577176190643912,1.5495097323913574,4,False,True,173,5,False,False,False,True,False,0.0,0,Segment 4
7446,3,0.5523263215988462,-0.3006708284668573,0.1951604333946677,0.0577176190643912,-1.1466306536254447,3,False,False,520,6,False,False,False,True,False,0.15,0,Segment 4
965,3,0.2132647096554612,1.1837789541341106,-0.0158575878375105,0.0577176190643912,-0.5244444106984903,2,False,False,235,6,False,False,False,True,False,0.1270269987105093,0,Segment 4
6177,3,-0.8801818757641698,0.3129017483415427,-0.7209257381450269,0.0577176190643912,-0.593576215468152,4,False,True,76,8,False,False,False,True,False,0.06,0,Segment 4
4855,3,-1.0331490438159765,0.1694049360234491,-0.926919520776439,0.0577176190643912,-1.0429329464709522,4,False,False,14,9,False,False,False,True,False,0.5505998882659856,1,Segment 4
5899,2,-2.2509215067176105,-1.2160815277374544,-0.9218952821756728,1.390633884332676,0.6507962703857566,4,False,False,28,20,False,False,True,False,False,0.018568665377176,0,Segment 3
1994,3,0.0035818706904731,-0.6321979465810735,-0.9721376681833344,0.0577176190643912,-1.3194601655495988,2,False,True,5,7,False,False,False,True,False,0.04,0,Segment 4
387,3,-2.159624311992524,1.1837789541341106,-0.9017983277726084,-1.2751986462038936,0.3397031489222795,0,False,True,6,8,False,False,False,True,False,0.02,0,Segment 4
2125,2,0.5779605231415272,-0.6321979465810735,0.8416124666932457,-1.2751986462038936,1.1347189037733878,2,False,False,194,2,False,False,True,False,False,0.06,0,Segment 3
8180,4,0.3965985472270589,-0.6321979465810735,-0.4847865239090178,1.390633884332676,0.1323077346132947,3,False,False,233,6,False,False,False,False,True,0.0,0,Segment 5
2569,3,-1.6753843855429928,1.3520165961622204,-0.926919520776439,-1.2751986462038936,-0.3861808011591672,2,False,True,3,8,False,False,False,True,False,0.17,0,Segment 4
2114,3,1.5524052575534044,1.1293491287720752,1.1983334073476424,-1.2751986462038936,-0.9046693369316292,4,True,False,1006,3,False,False,False,True,False,0.76,1,Segment 4
9736,4,-0.4662881139327275,0.9809041505119784,-0.8431822107636698,1.390633884332676,0.0631759298436331,2,False,True,53,8,False,False,False,False,True,0.07,0,Segment 5
4939,3,-0.6679109683741996,1.549943233842349,-0.4730633005072301,-1.2751986462038936,-1.0083670440861214,2,False,False,84,7,False,False,False,True,False,0.04,0,Segment 4
6565,2,1.2662388345625133,0.515776551963675,1.9804398828669063,0.0577176190643912,1.445812025236865,3,False,True,1012,5,False,False,True,False,False,0.12,0,Segment 3
2278,4,-0.8625337139328626,1.2332606135541428,-0.7812166013542207,0.0577176190643912,1.272982513312711,1,True,False,4,6,False,False,False,False,True,0.23,0,Segment 5
9360,0,-0.7034044782025272,1.6637510505084236,-0.4747380467074855,-1.2751986462038936,-0.2824830940046748,2,False,True,86,8,True,False,False,False,False,0.19,0,Segment 1
5376,0,-2.408719735829384,0.9165779932659364,1.8933530804536265,0.0577176190643912,-0.247917191619844,2,False,True,1,1,True,False,False,False,False,0.11,0,Segment 1
1993,4,0.359774030780169,0.9858523164539816,0.6238954606600459,0.0577176190643912,0.4779667584616027,4,False,True,867,8,False,False,False,False,True,0.05,0,Segment 5
4047,4,0.6908988995536086,-0.9142434052752576,-0.0928959130492581,0.0577176190643912,-1.6996850917827375,4,False,True,384,4,False,False,False,False,True,0.04,0,Segment 5
1409,3,-0.5235213985309057,0.5652582113837074,-0.2603705330747964,0.0577176190643912,0.6853621727705874,2,False,False,270,8,False,False,False,True,False,0.02,0,Segment 4
7892,3,-1.61297496409485,0.9363706570339492,-0.8783518809690329,-1.2751986462038936,1.3766802204672033,2,True,False,6,7,False,False,False,True,False,0.0,0,Segment 4
2404,4,0.1010657813648034,0.2188865954434814,-0.5735480725225531,1.390633884332676,-1.5614214822434145,2,False,True,173,7,False,False,False,False,True,0.13,0,Segment 5
5255,0,0.0035818706904731,0.6939105258757912,0.0628554835744924,0.0577176190643912,-1.0429329464709522,2,True,False,5,1,True,False,False,False,False,0.04,0,Segment 1
9422,2,-0.63833304351726,0.1990939316754685,-0.7845660937547314,0.0577176190643912,-0.8009716297771368,2,False,True,36,3,False,False,True,False,False,0.06,0,Segment 3
1966,3,1.6420263698699318,-0.6668351081750962,1.796217800838814,-1.2751986462038936,1.618641537161019,4,False,True,684,2,False,False,False,True,False,0.18,0,Segment 4
6864,2,-1.988121644363701,-1.56245314367768,-0.9537154599805252,-1.2751986462038936,-0.5244444106984903,3,False,False,8,5,False,False,True,False,False,0.02,0,Segment 3
3033,2,-0.6255159427459194,0.298057250515533,-0.4713885543069748,-1.2751986462038936,0.2360054417677871,3,False,False,112,3,False,False,True,False,False,0.01,0,Segment 3
5710,1,-0.5304722108722866,1.3520165961622204,-0.8029883019575407,0.0577176190643912,-0.6281421178529828,2,False,False,110,5,False,True,False,False,False,0.09,0,Segment 2
7373,3,-0.2316365767343395,1.258001443264159,-0.4981844935110609,1.390633884332676,-1.423157872704091,4,False,False,96,6,False,False,False,True,False,0.74,1,Segment 4
8755,2,0.8552042721339084,0.6939105258757912,0.9990386095172518,-1.2751986462038936,-1.5614214822434145,3,False,True,482,7,False,False,True,False,False,0.26,0,Segment 3
10738,0,-0.0946414881052806,-0.2462410031048218,-0.8950993429715868,1.390633884332676,0.2014395393829563,3,True,False,40,7,True,False,False,False,False,0.01,0,Segment 1
4339,3,0.7909215821114929,-0.8598135799132219,0.5250854348449783,0.0577176190643912,-0.420746703543998,4,False,True,702,2,False,False,False,True,False,0.01,0,Segment 4
10755,0,-1.360133003109444,-0.2660336668728347,-0.8683034037675006,0.0577176190643912,0.927323489464403,1,False,True,6,7,True,False,False,False,False,0.04,0,Segment 1
8595,3,-0.4377454164457807,-1.0676365494773574,-0.8917498505710759,0.0577176190643912,1.7223392443155112,2,False,False,55,5,False,False,False,True,False,0.0,0,Segment 4
2968,0,-0.1163812628751313,0.7879256787738524,0.506663226642169,-1.2751986462038936,0.1323077346132947,4,False,False,437,6,True,False,False,False,False,0.84,1,Segment 1
8601,2,1.4149172035100632,0.3574352418195717,1.332313103368073,0.0577176190643912,-1.595987384628245,2,False,True,421,4,False,False,True,False,False,0.04,0,Segment 3
503,3,-1.5158607774812316,0.5949472070357267,-0.9151962973746514,0.0577176190643912,1.3421143180823725,3,False,True,13,8,False,False,False,True,False,0.02,0,Segment 4
8430,0,-1.4451202405317174,0.9809041505119784,-0.9671134295825682,0.0577176190643912,-1.5614214822434145,2,False,False,9,5,True,False,False,False,False,0.12,0,Segment 1
7281,2,0.0035818706904731,-0.5827162871610413,-0.6924550527406854,-1.2751986462038936,1.0655870990037262,4,True,False,81,2,False,False,True,False,False,0.01,0,Segment 3
2139,1,-2.159624311992524,-0.4144786451329316,-0.9520407137802698,0.0577176190643912,-1.0429329464709522,3,False,True,3,5,False,True,False,False,False,0.0,0,Segment 2
1371,3,1.411466445610087,-1.7455352835317994,0.6439924150631104,-1.2751986462038936,0.7890598799250799,2,True,False,123,1,False,False,False,True,False,0.04,0,Segment 4
9909,2,-2.159624311992524,1.2035716179021236,-0.7996388095570299,-1.2751986462038936,-0.8701034345467984,1,False,True,3,9,False,False,True,False,False,0.67,1,Segment 3
7286,4,-0.4723022919869719,0.2337310932694911,-0.9118468049741406,0.0577176190643912,1.4803779276216955,2,False,False,13,10,False,False,False,False,True,0.04,0,Segment 5
7244,4,0.0035818706904731,-0.8647617458552251,-0.7962893171565191,2.7235501496009613,1.618641537161019,2,True,False,48,6,False,False,False,False,True,0.01,0,Segment 5
6566,4,1.0471157079140183,1.2085197838441268,1.205032392148664,1.390633884332676,-0.3516148987743364,4,False,True,826,8,False,False,False,False,True,0.22,0,Segment 5
8614,1,0.6988849392649823,-1.5129714842576478,-0.1548615224587073,0.0577176190643912,-0.6972739226226443,2,False,False,245,2,False,True,False,False,False,0.0,0,Segment 2
4114,3,1.3721278055503572,1.6489065526824138,1.831387471044177,-1.2751986462038936,-1.630553287013076,3,False,True,650,3,False,False,False,True,False,0.14,0,Segment 4
1331,3,-0.7650251549878181,0.9363706570339492,-0.8833761195697991,0.0577176190643912,0.1668736369981255,2,True,False,12,7,False,False,False,True,False,0.05,0,Segment 4
2225,3,1.54165861152205,-1.6416237987497315,1.704106759824768,-1.2751986462038936,0.1668736369981255,2,False,False,510,1,False,False,False,True,False,0.2,0,Segment 4
9381,0,0.7426109715118248,0.1397159403714298,0.0109383513665756,1.390633884332676,0.2705713441526179,2,False,True,328,3,True,False,False,False,False,0.02,0,Segment 1
6260,4,1.5318978963192598,1.1540899584820912,2.2735204679115983,-1.2751986462038936,0.2014395393829563,3,False,False,984,1,False,False,False,False,True,0.75,1,Segment 5
10383,0,0.935557634661928,0.4910357222536589,0.8265397508909472,-1.2751986462038936,-0.6627080202378136,2,False,False,295,3,True,False,False,False,False,0.62,1,Segment 1
7437,1,-1.152101598282302,-1.4436971610696028,-0.9553902061807804,0.0577176190643912,-0.6281421178529828,2,True,False,13,3,False,True,False,False,False,0.01,0,Segment 2
8557,4,0.0035818706904731,0.1149751106614136,-0.926919520776439,0.0577176190643912,0.2705713441526179,2,True,False,11,6,False,False,False,False,True,0.02,0,Segment 5
8375,0,0.2289903063710675,-1.166599868317422,-0.1364393142558981,0.0577176190643912,0.4779667584616027,4,False,True,447,7,True,False,False,False,False,0.01,0,Segment 1
6853,4,1.2061956471029258,0.0308562896473588,1.4043271899790546,-1.2751986462038936,-1.284894263164768,3,True,False,712,1,False,False,False,False,True,0.91,1,Segment 5
3076,3,0.7564140031117299,1.5153060722483267,0.0209868285681079,1.390633884332676,-1.077498848855783,2,False,False,452,3,False,False,False,True,False,0.01,0,Segment 4
1012,2,0.5183117080133657,0.7038068577597977,0.4765177950375721,0.0577176190643912,-0.8009716297771368,2,True,False,523,7,False,False,True,False,False,0.02,0,Segment 3
6518,4,0.8070415511585249,0.144664106313433,0.0109383513665756,0.0577176190643912,-1.423157872704091,4,False,False,546,5,False,False,False,False,True,0.04,0,Segment 5
4137,3,0.954241023863228,-0.7361094313631413,0.7980690654866057,-1.2751986462038936,-0.6972739226226443,2,False,False,398,4,False,False,False,True,False,0.17,0,Segment 4
8082,0,-1.261392030628694,0.2485755910955008,-0.9470164751795036,0.0577176190643912,0.8927575870795722,2,False,True,1,7,True,False,False,False,False,0.63,1,Segment 1
1386,0,-0.928492486363838,-1.5080233183156446,-0.9855356377853774,1.390633884332676,-1.6996850917827375,2,False,False,10,7,True,False,False,False,False,0.02,0,Segment 1
9369,3,1.818310802017292,-1.2457705233894736,1.1296688131371715,0.0577176190643912,-1.0429329464709522,1,True,False,688,5,False,False,False,True,False,0.19,0,Segment 4
4477,3,0.8768454538209026,-0.3897378154229154,0.0896514227785786,0.0577176190643912,-1.5614214822434145,2,False,False,247,4,False,False,False,True,False,0.01,0,Segment 4
1357,2,1.1606949393646668,0.4613467266016395,1.611995718810722,2.7235501496009613,1.411246122852034,2,False,False,856,5,False,False,True,False,False,0.06,0,Segment 3
1402,1,0.7730762341144726,1.495513408480314,1.0944991429318085,-1.2751986462038936,-1.6651191893979067,3,False,True,496,3,False,True,False,False,False,0.14,0,Segment 2
10629,4,0.0035818706904731,1.4806689106543045,-0.8214105101603498,0.0577176190643912,-0.8355375321619676,1,False,True,25,8,False,False,False,False,True,0.05,0,Segment 5
6312,4,0.6764550129151363,0.5702063773257106,0.4413481248322091,0.0577176190643912,-0.6972739226226443,2,False,True,258,7,False,False,False,False,True,0.028568665377176,0,Segment 5
8132,3,0.4595502306309121,0.4761912244276492,0.1030493923806216,1.390633884332676,1.3421143180823725,4,False,True,565,7,False,False,False,True,False,0.03,0,Segment 4
1050,3,-1.132678760959578,-1.4535934929536092,-0.8950993429715868,-1.2751986462038936,0.3051372465374487,2,False,True,14,2,False,False,False,True,False,0.05,0,Segment 4
5846,4,-0.5453597663836129,1.0056449802219944,-0.9821861453848668,0.0577176190643912,0.6507962703857566,2,False,False,2,6,False,False,False,False,True,0.01,0,Segment 5
1859,4,1.1802656663116753,1.5697358976103624,2.161312472494488,-1.2751986462038936,-0.5244444106984903,3,False,True,721,5,False,False,False,False,True,0.76,1,Segment 5
7503,0,1.2085618810914809,1.342120264278214,2.695556510375955,-1.2751986462038936,-0.3170489963895056,2,True,False,1032,4,True,False,False,False,False,0.7968830498716366,1,Segment 1
10401,4,-1.231567623064613,-0.2759299987568412,-0.9738124143835898,-1.2751986462038936,-1.284894263164768,1,False,False,1,3,False,False,False,False,True,0.02,0,Segment 5
1618,0,0.2335255881824649,0.9363706570339492,0.1549665245885385,-1.2751986462038936,-1.3885919703192602,2,False,False,577,8,True,False,False,False,False,0.36,0,Segment 1
3332,4,-1.0622832998000618,1.5598395657263555,-0.7276247229460484,0.0577176190643912,1.3075484156975417,2,True,False,64,8,False,False,False,False,True,0.07,0,Segment 5
2261,3,-1.2326521469760343,0.0852861150093943,-0.9771619067841004,0.0577176190643912,-1.5268555798585834,2,False,True,4,7,False,False,False,True,False,0.03,0,Segment 4
5346,0,-1.3679711531965333,0.035804455589362,-0.8716528961680113,0.0577176190643912,1.3075484156975417,1,False,True,25,7,True,False,False,False,False,0.02,0,Segment 1
4119,4,-0.6255159427459194,0.298057250515533,-0.4713885543069748,-1.2751986462038936,0.2360054417677871,3,False,False,112,3,False,False,False,False,True,0.0,0,Segment 5
535,4,1.4814675344381776,-1.1369108726654027,0.2989946978105015,-1.2751986462038936,-1.077498848855783,2,False,False,163,1,False,False,False,False,True,0.51,1,Segment 5
5268,2,-1.0780581930570965,-0.1571740161487637,-0.9101720587738852,1.390633884332676,1.5840756347761882,2,False,True,17,7,False,False,True,False,False,0.0,0,Segment 3
273,4,-0.7478699585707931,-0.0285217016566798,-0.7510711697496237,1.390633884332676,-0.0405217773108592,3,False,True,130,7,False,False,False,False,True,0.1,0,Segment 5
4452,2,-0.0453942432184761,-1.5921421393296995,-0.380952259493184,0.0577176190643912,-1.595987384628245,2,True,False,292,7,False,False,True,False,False,0.73,1,Segment 3
8504,4,1.394311249193062,-1.5129714842576478,1.2837454635606669,-1.2751986462038936,0.7199280751554182,2,False,True,350,2,False,False,False,False,True,0.0,0,Segment 5
771,1,0.141439648794526,-0.9637250646952896,-0.6790570831386423,0.0577176190643912,1.0310211966188954,2,False,False,135,2,False,True,False,False,False,0.0,0,Segment 2
