ID,Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Education_encoded,Marital_Absurd,Marital_Alone,Marital_Divorced,Marital_Married,Marital_Single,Marital_Together,Marital_Widow,Marital_YOLO,Customer_Tenure,Family_Size,Total_Spend
5524,1957,Graduation,0.3366539528503279,0,0,2012-09-04,0.3051372465374487,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,2,False,False,False,False,True,False,False,False,1.5301505700743365,-1.2751986462038936,1.7041067598247681
2174,1954,Graduation,-0.24474945675424944,1,1,2014-03-08,-0.3861808011591672,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,2,False,False,False,False,True,False,False,False,-1.1913406980274381,1.390633884332676,-0.9587396985812913
4141,1965,Graduation,1.0009248485957645,0,0,2013-08-21,-0.8009716297771368,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,2,False,False,False,False,False,True,False,False,-0.20665567556879605,-1.2751986462038936,0.2956452054099908
6182,1984,Graduation,-1.2157927298075786,1,0,2014-02-10,-0.8009716297771368,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,2,False,False,False,False,False,True,False,False,-1.0626883835353542,0.05771761906439125,-0.9151962973746514
5324,1981,PhD,0.34429491677170393,1,0,2014-01-19,1.5495097323913574,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,4,False,False,False,True,False,False,False,False,-0.9538287328112832,0.05771761906439125,-0.29721494948041494
7446,1967,Master,0.5523263215988462,0,1,2013-09-09,-1.1466306536254447,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,3,False,False,False,False,False,True,False,False,-0.30067082846685733,0.05771761906439125,0.19516043339466776
965,1971,Graduation,0.21326470965546124,0,1,2012-11-13,-0.5244444106984903,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,2,False,False,True,False,False,False,False,False,1.1837789541341106,0.05771761906439125,-0.015857587837510522
6177,1985,PhD,-0.8801818757641698,1,0,2013-05-08,-0.593576215468152,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,4,False,False,False,True,False,False,False,False,0.3129017483415427,0.05771761906439125,-0.7209257381450269
4855,1974,PhD,-1.0331490438159763,1,0,2013-06-06,-1.0429329464709522,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,4,False,False,False,False,False,True,False,False,0.16940493602344917,0.05771761906439125,-0.926919520776439
5899,1950,PhD,-2.2509215067176105,1,1,2014-03-13,0.6507962703857566,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,4,False,False,False,False,False,True,False,False,-1.2160815277374544,1.390633884332676,-0.9218952821756728
1994,1983,Graduation,0.0035818706904731422,1,0,2013-11-15,-1.3194601655495988,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,-0.6321979465810735,0.05771761906439125,-0.9721376681833344
387,1976,Basic,-2.1596243119925234,0,0,2012-11-13,0.3397031489222795,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,1.1837789541341106,-1.2751986462038936,-0.9017983277726083
2125,1959,Graduation,0.5779605231415272,0,0,2013-11-15,1.1347189037733878,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,2,False,False,True,False,False,False,False,False,-0.6321979465810735,-1.2751986462038936,0.8416124666932457
8180,1952,Master,0.3965985472270589,1,1,2013-11-15,0.13230773461329473,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,3,False,False,True,False,False,False,False,False,-0.6321979465810735,1.390633884332676,-0.48478652390901783
2569,1987,Graduation,-1.6753843855429928,0,0,2012-10-10,-0.3861808011591672,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,1.3520165961622204,-1.2751986462038936,-0.926919520776439
2114,1946,PhD,1.5524052575534044,0,0,2012-11-24,-0.9046693369316291,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,4,False,False,False,False,True,False,False,False,1.1293491287720752,-1.2751986462038936,1.1983334073476424
9736,1980,Graduation,-0.4662881139327275,1,1,2012-12-24,0.06317592984363313,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,0.9809041505119783,1.390633884332676,-0.8431822107636698
4939,1946,Graduation,-0.6679109683741996,0,0,2012-08-31,-1.0083670440861214,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,2,False,False,False,False,False,True,False,False,1.5499432338423493,-1.2751986462038936,-0.47306330050723017
6565,1949,Master,1.2662388345625133,0,1,2013-03-28,1.445812025236865,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,3,False,False,False,True,False,False,False,False,0.515776551963675,0.05771761906439125,1.9804398828669063
2278,1985,2n Cycle,-0.8625337139328626,1,0,2012-11-03,1.272982513312711,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,1,False,False,False,False,True,False,False,False,1.2332606135541428,0.05771761906439125,-0.7812166013542207
9360,1982,Graduation,-0.7034044782025272,0,0,2012-08-08,-0.2824830940046748,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,1.6637510505084236,-1.2751986462038936,-0.47473804670748554
5376,1979,Graduation,-2.4087197358293833,1,0,2013-01-06,-0.24791719161984402,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,2,False,False,False,True,False,False,False,False,0.9165779932659364,0.05771761906439125,1.8933530804536265
1993,1949,PhD,0.35977403078016906,0,1,2012-12-23,0.4779667584616027,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,4,False,False,False,True,False,False,False,False,0.9858523164539815,0.05771761906439125,0.6238954606600459
4047,1954,PhD,0.6908988995536086,0,1,2014-01-11,-1.6996850917827375,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,4,False,False,False,True,False,False,False,False,-0.9142434052752575,0.05771761906439125,-0.09289591304925815
1409,1951,Graduation,-0.5235213985309057,0,1,2013-03-18,0.6853621727705874,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,2,False,False,False,False,False,True,False,False,0.5652582113837074,0.05771761906439125,-0.26037053307479646
